ui,EndDate,Duration_tot,UserLanguage,Country,Consent_1,Condition,Age,Gender,Pol_ideo,Education,CRT,Demand_1,Demand_2,Demand,Attention_1,Attention_H,Timing_Inoc_Opening,Timing_Inoc_Warning,Timing_Inoc_1,Timing_Inoc_2,Threat_1,Threat_2,Threat_3,Threat_4,Threat,Affect_T1_1,Sci_Duration_1,Sci_1_Affect_1,Trial_1,Sci_Duration_2,Sci_2_Affect_1,Trial_2,Sci_Duration_3,Sci_3_Affect_1,Trial_3,Sci_Duration_4,Sci_4_Affect_1,Trial_4,Sci_Duration_5,Sci_5_Affect_1,Trial_5,Sci_Duration_6,Sci_6_Affect_1,Trial_6,Sci_Duration_7,Sci_7_Affect_1,Trial_7,Sci_Duration_8,Sci_8_Affect_1,Trial_8,Sci_Duration_9,Sci_9_Affect_1,Trial_9,Sci_Duration_10,Sci_10_Affect_1,Trial_10,Action_Duration_1,Act_1_Affect_1,Trial_11,Action_Duration_2,Act_2_Affect_1,Trial_12,Action_Duration_3,Act_3_Affect_1,Trial_13,Action_Duration_4,Act_4_Affect_1,Trial_14,Action_Duration_5,Act_5_Affect_1,Trial_15,Action_Duration_6,Act_6_Affect_1,Trial_16,Action_Duration_7,Act_7_Affect_1,Trial_17,Action_Duration_8,Act_8_Affect_1,Trial_18,Action_Duration_9,Act_9_Affect_1,Trial_19,Action_Duration_10,Act_10_Affect_1,Trial_20,CCB_real,CCB_cause,CCB_cons,CCB,WEPT_90,WEPT_Time,WEPT_1_acc,WEPT_2_acc,WEPT_3_acc,WEPT_4_acc,WEPT_5_acc,WEPT_6_acc,WEPT_7_acc,WEPT_8_acc,WEPT_Duration_1,WEPT_Duration_2,WEPT_Duration_3,WEPT_Duration_4,WEPT_Duration_5,WEPT_Duration_6,WEPT_Duration_7,WEPT_Duration_8,MIST_Timing_Page.Submit,T_Support,T_Delay,F_Support,F_Delay,MIST_score,MIST_T_score,MIST_F_score,T_Support_1,T_Support_2,T_Support_3,T_Support_4,T_Support_5,T_Delay_1,T_Delay_2,T_Delay_3,T_Delay_4,T_Delay_5,F_Support_1,F_Support_2,F_Support_3,F_Support_4,F_Support_5,F_Delay_1,F_Delay_2,F_Delay_3,F_Delay_4,F_Delay_5,F_Support_1_R,F_Support_2_R,F_Support_3_R,F_Support_4_R,F_Support_5_R,F_Delay_1_R,F_Delay_2_R,F_Delay_3_R,F_Delay_4_R,F_Delay_5_R,F_Support_R,F_Delay_R,MIST_dprime,MIST_cbias,MIST_hitrate,MIST_falsealarm,MIST_D_dprime,MIST_D_cbias,MIST_D_hitrate,MIST_D_falsealarm,MIST_S_dprime,MIST_S_cbias,MIST_S_hitrate,MIST_S_falsealarm,Inoculation_Group
4460B938-0184-4EFA-BA6D-A00CC1731803,15/05/2023 14:49,647,EN,USA,23,5,56,1,1,3,2,0,0,0,3,NA,10.969,15.501,15.595,15.726,7,7,6,7,6.75,100,15.063,100,5,5.773,100,14,5.988,100,15,5.993,100,4,5.461,100,16,8.074,100,10,3.527,100,18,5.386,100,12,6.649,100,1,3.957,100,20,5.605,100,7,6.387,100,9,8.377,100,2,5,100,19,11.149,100,6,6.579,100,11,7.559,100,3,2.645,100,17,7.325,100,13,67.866,100,8,5,5,4.666666667,4.888888889,1,2,0.692307692,0.933333333,0,0,0,0,0,0,5.463,4.302,4.051,NA,NA,NA,NA,NA,32.694,3,2,3,2,10,5,5,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,0,-0.5,0.5,0.5,0,-0.4,0.4,0.4,0,-0.6,0.6,0.6,Cognitive
86B18587-82CD-42D8-B7E3-720813759605,15/05/2023 14:51,733,EN,USA,23,6,34,1,10,2,2,0,0,0,3,NA,57.689,15.73,16.744,16.309,6,6,4,6,5.5,50,2.9,50,6,2.841,55,14,3.16,49,15,3.032,50,3,3.573,50,20,3.439,50,9,3.013,50,1,3.113,52,10,3.144,49,8,2.862,51,12,2.849,51,17,2.999,51,18,3.466,51,13,3.22,50,4,5.508,51,16,3.751,51,11,24.24,50,2,3.019,49,19,3.1,49,5,3.654,51,7,1,1.666666667,1,1.222222222,0,0,0,0,0,0,0,0,0,0,10.048,NA,NA,NA,NA,NA,NA,NA,31.812,2,1,4,3,6,3,7,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,2,-0.4,-0.5,0.3,0.7,-0.4,-0.4,0.2,0.6,-0.4,-0.6,0.4,0.8,Socioaffective
80B1482A-03C9-47C4-B8E8-902CF04B2752,15/05/2023 14:51,847,EN,USA,23,0,40,1,5,3,1,0,0,0,3,NA,NA,NA,NA,NA,7,7,7,4,6.25,53,3.186,51,6,2.878,44,4,6.277,46,17,4.098,48,18,2.87,44,3,2.898,51,20,7.823,48,12,3.713,48,16,2.914,50,9,3.837,53,10,2.958,50,1,3.306,44,2,5.384,54,13,2.992,47,19,2.905,46,8,2.757,48,7,8.808,47,14,2.657,51,5,7.053,52,15,3.102,46,11,5,3,5,4.333333333,2,2,0.923076923,1,0,0,0,0,0,0,9.354,5,8.899,NA,NA,NA,NA,NA,70.002,4,3,4,4,9,7,8,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,-0.1,-0.75,0.7,0.8,-0.2,-0.7,0.6,0.8,0,-0.8,0.8,0.8,Control
66B69703-93B8-4859-BB6D-C3C5B7E71426,15/05/2023 14:55,959,EN,USA,23,1,37,1,6,3,2,0,0,0,3,NA,16.091,16.489,17.94,16.205,4,5,3,4,4,53,12.568,44,20,23.662,1,13,4.814,47,16,13.52,7,19,18.107,38,7,12.24,36,10,16.856,0,17,8.39,67,3,8.315,29,12,4.536,41,15,6.84,27,4,39.482,6,11,18.102,53,1,17.973,62,5,15.009,55,2,4.026,39,14,8.966,40,6,43.485,24,9,19.039,39,18,6.555,63,8,3,2.333333333,3.333333333,2.888888889,0,0,0,0,0,0,0,0,0,0,8.398,NA,NA,NA,NA,NA,NA,NA,127.123,3,2,0,3,12,5,3,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,5,2,0.2,-0.4,0.5,0.3,-0.2,-0.5,0.4,0.6,0.6,-0.3,0.6,0,Cognitive
849C34CF-CE6E-4532-A3D5-A2810290ECC8,15/05/2023 14:55,758,EN,USA,23,3,26,1,4,3,1,0,0,0,3,NA,11.257,16.435,16.103,17.102,5,5,5,6,5.25,82,8.364,14,17,6.672,34,9,10.264,25,2,12.936,14,3,3.715,30,16,5.248,71,11,4.337,70,18,12.23,73,1,6.922,73,4,4.336,12,10,4.089,11,14,5.931,76,19,6.628,31,7,6.176,69,12,3.755,75,20,5.483,69,13,4.964,24,15,5.401,15,6,8.314,69,8,11.169,26,5,5,4,5,4.666666667,3,4,0.769230769,1,1,0.933333333,0,0,0,0,19.67,7.26,4.789,6.538,2.633,NA,NA,NA,62.332,5,2,2,3,12,7,5,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,3,2,0.2,-0.6,0.7,0.5,-0.2,-0.5,0.4,0.6,0.6,-0.7,1,0.4,Cognitive
0EE8FCDC-E409-4F5B-9EAA-01CB92D78345,15/05/2023 14:58,507,EN,USA,23,4,55,1,6,4,2,0,0,0,3,NA,11.033,17.811,15.778,16.429,6,3,3,3,3.75,58,2.776,66,15,2.724,70,18,2.77,60,5,2.767,66,7,3.157,71,6,6.689,61,4,3.658,70,3,2.816,68,14,6.686,64,8,2.773,57,12,2.95,62,16,2.76,65,10,3.689,60,1,2.812,72,20,2.681,64,19,3.027,59,9,5.479,66,2,5.566,66,13,2.688,66,17,2.766,59,11,3,2.666666667,2.333333333,2.666666667,0,0,0,0,0,0,0,0,0,0,4.181,NA,NA,NA,NA,NA,NA,NA,67.722,5,3,4,2,12,8,6,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,3,0.2,-0.7,0.8,0.6,0.2,-0.5,0.6,0.4,0.2,-0.9,1,0.8,Socioaffective
691CD92B-3233-4061-A5DF-31D1AF6C08A2,15/05/2023 14:59,438,EN,USA,23,0,40,0,8,3,1,0,0,0,3,NA,NA,NA,NA,NA,4,4,5,4,4.25,71,3.183,71,11,3.156,60,1,4.751,41,18,2.694,67,20,3.958,28,5,5.063,39,3,3.37,95,4,3.134,76,2,2.822,37,17,2.601,35,16,7.358,26,8,2.948,29,14,3.842,32,7,2.889,73,15,5.995,60,9,3.291,35,10,3.042,81,19,2.901,70,6,2.692,61,13,2.954,43,12,4,3.666666667,3.333333333,3.666666667,0,0,0,0,0,0,0,0,0,0,10.983,NA,NA,NA,NA,NA,NA,NA,46.971,5,5,5,5,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,-1,1,1,0,-1,1,1,Control
D7AF9FDC-5468-4211-9563-7917F5C9EAD2,15/05/2023 14:59,546,EN,USA,23,5,38,1,1,3,0,0,0,0,3,NA,13.501,16,16.256,17.201,7,7,5,4,5.75,52,2.865,66,15,2.974,65,17,2.958,63,13,2.644,68,12,3.695,64,6,3.064,64,8,5.267,62,9,3.173,68,18,2.702,65,14,2.726,63,19,3.041,71,20,3.902,65,3,2.8,61,10,3.189,61,4,3.001,63,7,2.893,65,16,4.665,64,2,3.139,63,11,4.082,63,5,4.066,60,1,5,3.666666667,5,4.555555556,0,0,0,0,0,0,0,0,0,0,5.441,NA,NA,NA,NA,NA,NA,NA,52.056,2,3,3,1,11,5,4,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,2,4,0.1,-0.45,0.5,0.4,0.4,-0.4,0.6,0.2,-0.2,-0.5,0.4,0.6,Cognitive
5944D8D9-2D25-44B7-8023-2200FD0D9E02,15/05/2023 14:59,1289,EN,USA,23,6,43,1,4,2,3,0,0,0,3,NA,10.966,16.1,16.401,227.843,4,6,3,7,5,80,6.361,84,17,11.301,88,2,35.262,80,7,7.198,87,10,6.501,76,20,11.634,81,8,4.02,79,3,11.653,79,13,7.335,70,5,8.674,81,11,2.849,77,19,4.348,88,12,5.844,80,6,12.154,84,4,10.224,71,1,10.761,86,14,3.667,81,18,3.064,83,16,7.701,79,9,5.13,73,15,5,4.333333333,5,4.777777778,3,5,0.846153846,1,1,0.8,0.933333333,0,0,0,8.1,3.635,1.557,1.531,6.473,2.171,NA,NA,52.416,5,5,4,3,13,10,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,2,0.3,-0.85,1,0.7,0.4,-0.8,1,0.6,0.2,-0.9,1,0.8,Socioaffective
25B49D68-AC25-4238-A111-4B385B3E6F24,15/05/2023 15:00,1152,EN,USA,23,0,39,1,8,3,1,0,0,0,3,NA,NA,NA,NA,NA,3,5,4,4,4,68,15.821,41,9,3.116,66,16,5.378,36,15,10.156,73,8,8.61,25,12,12.854,30,2,5.698,75,10,13.878,78,13,5.452,34,14,14.472,72,6,3.421,10,4,3.053,35,17,20.15,34,1,17.303,25,5,22.429,28,11,5.642,73,18,9.572,39,3,12.8,88,7,5.998,86,20,5.432,71,19,5,5,5,5,0,8,0.615384615,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,3.751,3.674,4.194,2.214,2.4,2.931,2.643,2.071,115.162,5,4,3,1,15,9,4,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,2,4,0.5,-0.65,0.9,0.4,0.6,-0.5,0.8,0.2,0.4,-0.8,1,0.6,Control
